REF_DATE,GEO,DGUID,Age.at.time.of.death,Sex,Leading.causes.of.death..ICD.10.,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Rank of leading causes of death,Number,223,units,0,v41341067,1.1.1.14.1,43,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Rank of leading causes of death,Number,223,units,0,v41341067,1.1.1.14.1,45,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Rank of leading causes of death,Number,223,units,0,v41341067,1.1.1.14.1,44,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Rank of leading causes of death,Number,223,units,0,v41341067,1.1.1.14.1,43,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Rank of leading causes of death,Number,223,units,0,v41341067,1.1.1.14.1,46,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Rank of leading causes of death,Number,223,units,0,v41341067,1.1.1.14.1,46,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Rank of leading causes of death,Number,223,units,0,v41341067,1.1.1.14.1,43,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Rank of leading causes of death,Number,223,units,0,v41341067,1.1.1.14.1,46,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Rank of leading causes of death,Number,223,units,0,v41341067,1.1.1.14.1,45,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Rank of leading causes of death,Number,223,units,0,v41341067,1.1.1.14.1,47,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Rank of leading causes of death,Number,223,units,0,v41341067,1.1.1.14.1,44,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,2,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,0,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,0,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,0,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,3,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,0,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,2,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,2,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,2,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,4,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,1,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,3,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,0,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,1,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,1,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,0,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,0,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,1,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,0,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,0,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,0,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malaria [B50-B54],Number of deaths,Number,223,units,0,v41341068,1.1.1.14.2,1,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Rank of leading causes of death,Number,223,units,0,v41341069,1.1.1.15.1,1,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,63774,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,65103,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,65990,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,66947,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,67343,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,67807,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,69595,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,70558,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,71125,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,71882,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,72736,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,74361,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,75112,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,77059,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,77054,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,79084,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,80023,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,79726,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,80372,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,81242,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,82822,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Malignant neoplasms [C00-C97],Number of deaths,Number,223,units,0,v41341070,1.1.1.15.2,82412,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,14,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,15,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,15,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,16,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,16,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,16,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,16,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,17,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,17,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,17,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,17,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,16,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,14,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,15,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,14,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,14,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,14,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,14,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,14,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,16,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,17,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Rank of leading causes of death,Number,223,units,0,v41341071,1.1.1.16.1,17,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1431,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1488,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1433,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1375,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1447,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1415,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1429,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1390,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1459,,NA,NA,0
2010,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1351,,NA,NA,0
2011,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1436,,NA,NA,0
2012,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1469,,NA,NA,0
2013,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1531,,NA,NA,0
2014,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1461,,NA,NA,0
2015,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1526,,NA,NA,0
2016,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1629,,NA,NA,0
2017,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1609,,NA,NA,0
2018,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1752,,NA,NA,0
2019,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1767,,NA,NA,0
2020,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1860,,NA,NA,0
2021,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1793,,NA,NA,0
2022,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",Number of deaths,Number,223,units,0,v41341072,1.1.1.16.2,1803,,NA,NA,0
2001,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Anaemias [D50-D64],Rank of leading causes of death,Number,223,units,0,v41341073,1.1.1.17.1,21,,NA,NA,0
2002,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Anaemias [D50-D64],Rank of leading causes of death,Number,223,units,0,v41341073,1.1.1.17.1,21,,NA,NA,0
2003,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Anaemias [D50-D64],Rank of leading causes of death,Number,223,units,0,v41341073,1.1.1.17.1,21,,NA,NA,0
2004,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Anaemias [D50-D64],Rank of leading causes of death,Number,223,units,0,v41341073,1.1.1.17.1,24,,NA,NA,0
2005,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Anaemias [D50-D64],Rank of leading causes of death,Number,223,units,0,v41341073,1.1.1.17.1,22,,NA,NA,0
2006,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Anaemias [D50-D64],Rank of leading causes of death,Number,223,units,0,v41341073,1.1.1.17.1,24,,NA,NA,0
2007,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Anaemias [D50-D64],Rank of leading causes of death,Number,223,units,0,v41341073,1.1.1.17.1,22,,NA,NA,0
2008,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Anaemias [D50-D64],Rank of leading causes of death,Number,223,units,0,v41341073,1.1.1.17.1,22,,NA,NA,0
2009,"Canada, place of residence",2016A000011124,"Age at time of death, all ages",Both sexes,Anaemias [D50-D64],Rank of leading causes of death,Number,223,units,0,v41341073,1.1.1.17.1,22,,NA,NA,0
