Year,Leading_Cause_Death,Ranking,Number_Death
2021,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",13,82
2022,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",14,78
2018,Cerebrovascular diseases [I60-I69],3,536
2019,Cerebrovascular diseases [I60-I69],4,507
2020,Cerebrovascular diseases [I60-I69],3,524
2021,Cerebrovascular diseases [I60-I69],4,494
2022,Cerebrovascular diseases [I60-I69],5,519
2018,Atherosclerosis [I70],25,10
2019,Atherosclerosis [I70],24,10
2020,Atherosclerosis [I70],27,8
2021,Atherosclerosis [I70],27,10
2022,Atherosclerosis [I70],29,9
2018,Aortic aneurysm and dissection [I71],12,79
2019,Aortic aneurysm and dissection [I71],13,75
2020,Aortic aneurysm and dissection [I71],16,64
2021,Aortic aneurysm and dissection [I71],13,82
2022,Aortic aneurysm and dissection [I71],16,71
2018,Influenza and pneumonia [J09-J18],8,225
2019,Influenza and pneumonia [J09-J18],8,197
2020,Influenza and pneumonia [J09-J18],10,113
2021,Influenza and pneumonia [J09-J18],12,93
2022,Influenza and pneumonia [J09-J18],9,175
2018,Acute bronchitis and bronchiolitis [J20-J21],36,0
2019,Acute bronchitis and bronchiolitis [J20-J21],39,0
2020,Acute bronchitis and bronchiolitis [J20-J21],36,1
2021,Acute bronchitis and bronchiolitis [J20-J21],38,0
2022,Acute bronchitis and bronchiolitis [J20-J21],39,0
2018,Chronic lower respiratory diseases [J40-J47],4,528
2019,Chronic lower respiratory diseases [J40-J47],3,531
2020,Chronic lower respiratory diseases [J40-J47],5,487
2021,Chronic lower respiratory diseases [J40-J47],5,432
2022,Chronic lower respiratory diseases [J40-J47],4,568
2018,"Pneumoconioses and chemical effects [J60-J66, J68]",28,7
2019,"Pneumoconioses and chemical effects [J60-J66, J68]",30,3
2020,"Pneumoconioses and chemical effects [J60-J66, J68]",27,8
2021,"Pneumoconioses and chemical effects [J60-J66, J68]",27,10
2022,"Pneumoconioses and chemical effects [J60-J66, J68]",31,4
2018,Pneumonitis due to solids and liquids [J69],19,22
2019,Pneumonitis due to solids and liquids [J69],18,38
2020,Pneumonitis due to solids and liquids [J69],19,29
2021,Pneumonitis due to solids and liquids [J69],19,28
2022,Pneumonitis due to solids and liquids [J69],18,45
2018,Peptic ulcer [K25-K28],22,15
2019,Peptic ulcer [K25-K28],20,24
2020,Peptic ulcer [K25-K28],21,23
2021,Peptic ulcer [K25-K28],20,26
2022,Peptic ulcer [K25-K28],20,33
2018,Diseases of appendix [K35-K38],33,1
2019,Diseases of appendix [K35-K38],30,3
2020,Diseases of appendix [K35-K38],36,1
2021,Diseases of appendix [K35-K38],34,2
2022,Diseases of appendix [K35-K38],34,3
2018,Hernia [K40-K46],21,16
2019,Hernia [K40-K46],23,17
2020,Hernia [K40-K46],24,18
2021,Hernia [K40-K46],20,26
2022,Hernia [K40-K46],21,23
2018,"Chronic liver disease and cirrhosis [K70, K73-K74]",11,110
2019,"Chronic liver disease and cirrhosis [K70, K73-K74]",11,108
2020,"Chronic liver disease and cirrhosis [K70, K73-K74]",8,133
2021,"Chronic liver disease and cirrhosis [K70, K73-K74]",8,140
2022,"Chronic liver disease and cirrhosis [K70, K73-K74]",10,141
2018,Cholelithiasis and other disorders of gallbladder [K80-K82],19,22
2019,Cholelithiasis and other disorders of gallbladder [K80-K82],19,28
2020,Cholelithiasis and other disorders of gallbladder [K80-K82],21,23
2021,Cholelithiasis and other disorders of gallbladder [K80-K82],23,21
2022,Cholelithiasis and other disorders of gallbladder [K80-K82],23,17
2018,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",13,77
2019,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",10,114
2020,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",9,116
2021,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",11,110
2022,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",12,129
2018,"Infections of kidney [N10-N12, N13.6, N15.1]",31,3
2019,"Infections of kidney [N10-N12, N13.6, N15.1]",26,7
2020,"Infections of kidney [N10-N12, N13.6, N15.1]",32,3
2021,"Infections of kidney [N10-N12, N13.6, N15.1]",32,5
2022,"Infections of kidney [N10-N12, N13.6, N15.1]",30,6
2018,Hyperplasia of prostate [N40],26,9
2019,Hyperplasia of prostate [N40],28,6
2020,Hyperplasia of prostate [N40],27,8
2021,Hyperplasia of prostate [N40],31,6
2022,Hyperplasia of prostate [N40],26,13
2018,Inflammatory diseases of female pelvic organs [N70-N76],36,0
2019,Inflammatory diseases of female pelvic organs [N70-N76],39,0
2020,Inflammatory diseases of female pelvic organs [N70-N76],32,3
2021,Inflammatory diseases of female pelvic organs [N70-N76],35,1
2022,Inflammatory diseases of female pelvic organs [N70-N76],38,1
2018,"Pregnancy, childbirth and the puerperium [O00-O99]",33,1
2019,"Pregnancy, childbirth and the puerperium [O00-O99]",30,3
2020,"Pregnancy, childbirth and the puerperium [O00-O99]",39,0
2021,"Pregnancy, childbirth and the puerperium [O00-O99]",38,0
2022,"Pregnancy, childbirth and the puerperium [O00-O99]",34,3
2018,Certain conditions originating in the perinatal period [P00-P96],23,12
2019,Certain conditions originating in the perinatal period [P00-P96],21,23
2020,Certain conditions originating in the perinatal period [P00-P96],25,17
2021,Certain conditions originating in the perinatal period [P00-P96],25,14
2022,Certain conditions originating in the perinatal period [P00-P96],22,19
2018,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",17,34
2019,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",17,45
2020,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",20,26
2021,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",18,37
2022,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",19,42
2018,"COVID-19 [U07.1, U07.2, U10.9]",NA,NA
2019,"COVID-19 [U07.1, U07.2, U10.9]",NA,NA
2020,"COVID-19 [U07.1, U07.2, U10.9]",15,66
2021,"COVID-19 [U07.1, U07.2, U10.9]",17,47
2022,"COVID-19 [U07.1, U07.2, U10.9]",6,476
2018,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",5,507
2019,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",5,494
2020,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",4,505
2021,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3,629
2022,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3,624
2018,"Intentional self-harm (suicide) [X60-X84, Y87.0]",9,123
2019,"Intentional self-harm (suicide) [X60-X84, Y87.0]",9,125
2020,"Intentional self-harm (suicide) [X60-X84, Y87.0]",11,108
2021,"Intentional self-harm (suicide) [X60-X84, Y87.0]",9,139
2022,"Intentional self-harm (suicide) [X60-X84, Y87.0]",11,137
2018,"Assault (homicide) [X85-Y09, Y87.1]",23,12
2019,"Assault (homicide) [X85-Y09, Y87.1]",26,7
2020,"Assault (homicide) [X85-Y09, Y87.1]",18,32
2021,"Assault (homicide) [X85-Y09, Y87.1]",23,21
2022,"Assault (homicide) [X85-Y09, Y87.1]",25,16
2018,"Legal intervention [Y35, Y89.0]",36,0
2019,"Legal intervention [Y35, Y89.0]",34,1
2020,"Legal intervention [Y35, Y89.0]",34,2
2021,"Legal intervention [Y35, Y89.0]",38,0
2022,"Legal intervention [Y35, Y89.0]",39,0
2018,"Operations of war and their sequelae [Y36, Y89.1]",36,0
2019,"Operations of war and their sequelae [Y36, Y89.1]",39,0
2020,"Operations of war and their sequelae [Y36, Y89.1]",39,0
2021,"Operations of war and their sequelae [Y36, Y89.1]",38,0
2022,"Operations of war and their sequelae [Y36, Y89.1]",39,0
2018,"Complications of medical and surgical care [Y40-Y84, Y88]",26,9
2019,"Complications of medical and surgical care [Y40-Y84, Y88]",25,8
2020,"Complications of medical and surgical care [Y40-Y84, Y88]",26,14
2021,"Complications of medical and surgical care [Y40-Y84, Y88]",26,12
2022,"Complications of medical and surgical care [Y40-Y84, Y88]",27,10
2018,Other causes of death,NA,2027
2019,Other causes of death,NA,2047
2020,Other causes of death,NA,2179
2021,Other causes of death,NA,2139
2022,Other causes of death,NA,2595
2018,"Total, all causes of death [A00-Y89]",NA,7655
2019,"Total, all causes of death [A00-Y89]",NA,7796
2020,"Total, all causes of death [A00-Y89]",NA,7495
2021,"Total, all causes of death [A00-Y89]",NA,8102
2022,"Total, all causes of death [A00-Y89]",NA,9155
2018,Salmonella infections [A01-A02],35,0
2019,Salmonella infections [A01-A02],34,0
2020,Salmonella infections [A01-A02],40,0
2021,Salmonella infections [A01-A02],36,1
2022,Salmonella infections [A01-A02],34,2
2018,"Shigellosis and amoebiasis [A03, A06]",35,0
2019,"Shigellosis and amoebiasis [A03, A06]",34,0
2020,"Shigellosis and amoebiasis [A03, A06]",40,0
2021,"Shigellosis and amoebiasis [A03, A06]",39,0
2022,"Shigellosis and amoebiasis [A03, A06]",37,0
2018,Tuberculosis [A16-A19],32,1
2019,Tuberculosis [A16-A19],32,1
2020,Tuberculosis [A16-A19],40,0
2021,Tuberculosis [A16-A19],30,2
2022,Tuberculosis [A16-A19],37,0
2018,Whooping cough [A37],35,0
2019,Whooping cough [A37],34,0
2020,Whooping cough [A37],40,0
2021,Whooping cough [A37],39,0
2022,Whooping cough [A37],37,0
2018,"Scarlet fever and erysipelas [A38, A46]",35,0
2019,"Scarlet fever and erysipelas [A38, A46]",34,0
2020,"Scarlet fever and erysipelas [A38, A46]",40,0
2021,"Scarlet fever and erysipelas [A38, A46]",39,0
2022,"Scarlet fever and erysipelas [A38, A46]",37,0
2018,Meningococcal infection [A39],35,0
2019,Meningococcal infection [A39],34,0
2020,Meningococcal infection [A39],40,0
2021,Meningococcal infection [A39],36,1
2022,Meningococcal infection [A39],37,0
2018,Sepsis [A40-A41],13,56
2019,Sepsis [A40-A41],14,48
2020,Sepsis [A40-A41],14,61
2021,Sepsis [A40-A41],14,57
2022,Sepsis [A40-A41],16,56
2018,Syphilis [A50-A53],35,0
2019,Syphilis [A50-A53],34,0
2020,Syphilis [A50-A53],35,1
2021,Syphilis [A50-A53],39,0
2022,Syphilis [A50-A53],37,0
2018,Acute poliomyelitis [A80],35,0
2019,Acute poliomyelitis [A80],34,0
2020,Acute poliomyelitis [A80],40,0
2021,Acute poliomyelitis [A80],39,0
2022,Acute poliomyelitis [A80],37,0
2018,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",35,0
2019,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",34,0
2020,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",40,0
2021,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",39,0
2022,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",37,0
2018,Measles [B05],35,0
2019,Measles [B05],34,0
2020,Measles [B05],40,0
2021,Measles [B05],39,0
2022,Measles [B05],37,0
2018,Viral hepatitis [B15-B19],31,2
2019,Viral hepatitis [B15-B19],28,3
2020,Viral hepatitis [B15-B19],29,4
2021,Viral hepatitis [B15-B19],30,2
2022,Viral hepatitis [B15-B19],29,3
2018,Human immunodeficiency virus [HIV] disease [B20-B24],35,0
2019,Human immunodeficiency virus [HIV] disease [B20-B24],34,0
2020,Human immunodeficiency virus [HIV] disease [B20-B24],32,2
2021,Human immunodeficiency virus [HIV] disease [B20-B24],30,2
2022,Human immunodeficiency virus [HIV] disease [B20-B24],35,1
2018,Malaria [B50-B54],35,0
2019,Malaria [B50-B54],34,0
2020,Malaria [B50-B54],40,0
2021,Malaria [B50-B54],39,0
2022,Malaria [B50-B54],37,0
2018,Malignant neoplasms [C00-C97],1,2111
2019,Malignant neoplasms [C00-C97],1,2126
2020,Malignant neoplasms [C00-C97],1,2130
2021,Malignant neoplasms [C00-C97],1,2170
2022,Malignant neoplasms [C00-C97],1,2079
2018,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",14,52
2019,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",13,57
2020,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",15,54
2021,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",16,49
2022,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",18,49
2018,Anaemias [D50-D64],21,13
2019,Anaemias [D50-D64],18,27
2020,Anaemias [D50-D64],19,25
2021,Anaemias [D50-D64],19,28
2022,Anaemias [D50-D64],19,21
2018,Diabetes mellitus [E10-E14],6,216
2019,Diabetes mellitus [E10-E14],6,220
2020,Diabetes mellitus [E10-E14],6,239
2021,Diabetes mellitus [E10-E14],6,253
2022,Diabetes mellitus [E10-E14],7,258
2018,Nutritional deficiencies [E40-E64],26,6
2019,Nutritional deficiencies [E40-E64],28,3
2020,Nutritional deficiencies [E40-E64],30,3
2021,Nutritional deficiencies [E40-E64],29,6
2022,Nutritional deficiencies [E40-E64],25,12
2018,"Meningitis [G00, G03]",35,0
2019,"Meningitis [G00, G03]",32,1
2020,"Meningitis [G00, G03]",35,1
2021,"Meningitis [G00, G03]",36,1
2022,"Meningitis [G00, G03]",35,1
2018,Parkinson's disease [G20-G21],11,89
2019,Parkinson's disease [G20-G21],12,63
2020,Parkinson's disease [G20-G21],12,87
2021,Parkinson's disease [G20-G21],12,89
2022,Parkinson's disease [G20-G21],12,95
2018,Alzheimer's disease [G30],8,171
2019,Alzheimer's disease [G30],7,188
2020,Alzheimer's disease [G30],7,179
2021,Alzheimer's disease [G30],7,182
2022,Alzheimer's disease [G30],9,166
2018,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1430
2019,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1313
2020,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1213
2021,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1353
2022,"Diseases of heart [I00-I09, I11, I13, I20-I51]",2,1292
2018,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",17,30
2019,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",17,30
2020,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",17,50
2021,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",18,42
2022,"Essential hypertension and hypertensive renal disease [I10, I12, I15]",15,57
2018,Cerebrovascular diseases [I60-I69],4,354
2019,Cerebrovascular diseases [I60-I69],4,364
2020,Cerebrovascular diseases [I60-I69],4,361
2021,Cerebrovascular diseases [I60-I69],3,425
2022,Cerebrovascular diseases [I60-I69],4,388
2018,Atherosclerosis [I70],25,7
2019,Atherosclerosis [I70],24,10
2020,Atherosclerosis [I70],23,12
2021,Atherosclerosis [I70],25,9
2022,Atherosclerosis [I70],28,8
2018,Aortic aneurysm and dissection [I71],15,45
2019,Aortic aneurysm and dissection [I71],15,44
2020,Aortic aneurysm and dissection [I71],16,51
2021,Aortic aneurysm and dissection [I71],17,47
2022,Aortic aneurysm and dissection [I71],17,53
2018,Influenza and pneumonia [J09-J18],7,195
2019,Influenza and pneumonia [J09-J18],8,169
2020,Influenza and pneumonia [J09-J18],9,106
2021,Influenza and pneumonia [J09-J18],11,104
2022,Influenza and pneumonia [J09-J18],8,213
2018,Acute bronchitis and bronchiolitis [J20-J21],32,1
2019,Acute bronchitis and bronchiolitis [J20-J21],30,2
2020,Acute bronchitis and bronchiolitis [J20-J21],40,0
2021,Acute bronchitis and bronchiolitis [J20-J21],39,0
2022,Acute bronchitis and bronchiolitis [J20-J21],37,0
2018,Chronic lower respiratory diseases [J40-J47],3,404
2019,Chronic lower respiratory diseases [J40-J47],3,398
2020,Chronic lower respiratory diseases [J40-J47],5,320
2021,Chronic lower respiratory diseases [J40-J47],4,374
2022,Chronic lower respiratory diseases [J40-J47],5,386
2018,"Pneumoconioses and chemical effects [J60-J66, J68]",29,4
2019,"Pneumoconioses and chemical effects [J60-J66, J68]",34,0
2020,"Pneumoconioses and chemical effects [J60-J66, J68]",32,2
2021,"Pneumoconioses and chemical effects [J60-J66, J68]",30,2
2022,"Pneumoconioses and chemical effects [J60-J66, J68]",37,0
2018,Pneumonitis due to solids and liquids [J69],16,42
2019,Pneumonitis due to solids and liquids [J69],16,40
2020,Pneumonitis due to solids and liquids [J69],13,64
2021,Pneumonitis due to solids and liquids [J69],14,57
2022,Pneumonitis due to solids and liquids [J69],14,60
2018,Peptic ulcer [K25-K28],29,4
2019,Peptic ulcer [K25-K28],25,9
2020,Peptic ulcer [K25-K28],24,11
2021,Peptic ulcer [K25-K28],26,8
2022,Peptic ulcer [K25-K28],24,13
2018,Diseases of appendix [K35-K38],35,0
2019,Diseases of appendix [K35-K38],34,0
2020,Diseases of appendix [K35-K38],32,2
2021,Diseases of appendix [K35-K38],39,0
2022,Diseases of appendix [K35-K38],29,3
2018,Hernia [K40-K46],21,13
2019,Hernia [K40-K46],22,12
2020,Hernia [K40-K46],22,13
2021,Hernia [K40-K46],24,10
2022,Hernia [K40-K46],22,17
2018,"Chronic liver disease and cirrhosis [K70, K73-K74]",12,85
2019,"Chronic liver disease and cirrhosis [K70, K73-K74]",10,86
2020,"Chronic liver disease and cirrhosis [K70, K73-K74]",9,106
2021,"Chronic liver disease and cirrhosis [K70, K73-K74]",10,115
2022,"Chronic liver disease and cirrhosis [K70, K73-K74]",11,103
2018,Cholelithiasis and other disorders of gallbladder [K80-K82],19,14
2019,Cholelithiasis and other disorders of gallbladder [K80-K82],21,15
2020,Cholelithiasis and other disorders of gallbladder [K80-K82],21,15
2021,Cholelithiasis and other disorders of gallbladder [K80-K82],20,24
2022,Cholelithiasis and other disorders of gallbladder [K80-K82],26,10
2018,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",9,122
2019,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",9,135
2020,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",8,127
2021,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",8,147
2022,"Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]",10,159
2018,"Infections of kidney [N10-N12, N13.6, N15.1]",26,6
2019,"Infections of kidney [N10-N12, N13.6, N15.1]",27,5
2020,"Infections of kidney [N10-N12, N13.6, N15.1]",28,6
2021,"Infections of kidney [N10-N12, N13.6, N15.1]",23,11
2022,"Infections of kidney [N10-N12, N13.6, N15.1]",26,10
2018,Hyperplasia of prostate [N40],26,6
2019,Hyperplasia of prostate [N40],30,2
2020,Hyperplasia of prostate [N40],30,3
2021,Hyperplasia of prostate [N40],30,2
2022,Hyperplasia of prostate [N40],29,3
2018,Inflammatory diseases of female pelvic organs [N70-N76],32,1
2019,Inflammatory diseases of female pelvic organs [N70-N76],34,0
2020,Inflammatory diseases of female pelvic organs [N70-N76],35,1
2021,Inflammatory diseases of female pelvic organs [N70-N76],30,2
2022,Inflammatory diseases of female pelvic organs [N70-N76],29,3
2018,"Pregnancy, childbirth and the puerperium [O00-O99]",35,0
2019,"Pregnancy, childbirth and the puerperium [O00-O99]",34,0
2020,"Pregnancy, childbirth and the puerperium [O00-O99]",40,0
2021,"Pregnancy, childbirth and the puerperium [O00-O99]",39,0
2022,"Pregnancy, childbirth and the puerperium [O00-O99]",37,0
2018,Certain conditions originating in the perinatal period [P00-P96],21,13
2019,Certain conditions originating in the perinatal period [P00-P96],20,16
2020,Certain conditions originating in the perinatal period [P00-P96],20,18
2021,Certain conditions originating in the perinatal period [P00-P96],22,14
2022,Certain conditions originating in the perinatal period [P00-P96],20,20
2018,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",18,18
2019,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",19,21
2020,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",18,28
2021,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",21,22
2022,"Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]",21,19
2018,"COVID-19 [U07.1, U07.2, U10.9]",NA,NA
2019,"COVID-19 [U07.1, U07.2, U10.9]",NA,NA
2020,"COVID-19 [U07.1, U07.2, U10.9]",26,9
2021,"COVID-19 [U07.1, U07.2, U10.9]",9,141
2022,"COVID-19 [U07.1, U07.2, U10.9]",3,657
2018,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",5,323
2019,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",5,311
2020,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3,362
2021,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",5,368
2022,"Accidents (unintentional injuries) [V01-X59, Y85-Y86]",6,355
2018,"Intentional self-harm (suicide) [X60-X84, Y87.0]",10,114
2019,"Intentional self-harm (suicide) [X60-X84, Y87.0]",11,79
2020,"Intentional self-harm (suicide) [X60-X84, Y87.0]",11,92
2021,"Intentional self-harm (suicide) [X60-X84, Y87.0]",13,85
2022,"Intentional self-harm (suicide) [X60-X84, Y87.0]",13,63
2018,"Assault (homicide) [X85-Y09, Y87.1]",21,13
2019,"Assault (homicide) [X85-Y09, Y87.1]",23,11
2020,"Assault (homicide) [X85-Y09, Y87.1]",26,9
2021,"Assault (homicide) [X85-Y09, Y87.1]",28,7
2022,"Assault (homicide) [X85-Y09, Y87.1]",29,3
2018,"Legal intervention [Y35, Y89.0]",35,0
2019,"Legal intervention [Y35, Y89.0]",34,0
2020,"Legal intervention [Y35, Y89.0]",35,1
2021,"Legal intervention [Y35, Y89.0]",39,0
2022,"Legal intervention [Y35, Y89.0]",37,0
2018,"Operations of war and their sequelae [Y36, Y89.1]",35,0
2019,"Operations of war and their sequelae [Y36, Y89.1]",34,0
2020,"Operations of war and their sequelae [Y36, Y89.1]",35,1
2021,"Operations of war and their sequelae [Y36, Y89.1]",39,0
2022,"Operations of war and their sequelae [Y36, Y89.1]",37,0
2018,"Complications of medical and surgical care [Y40-Y84, Y88]",19,14
2019,"Complications of medical and surgical care [Y40-Y84, Y88]",26,7
2020,"Complications of medical and surgical care [Y40-Y84, Y88]",25,10
2021,"Complications of medical and surgical care [Y40-Y84, Y88]",26,8
2022,"Complications of medical and surgical care [Y40-Y84, Y88]",23,14
2018,Other causes of death,NA,1680
2019,Other causes of death,NA,1980
2020,Other causes of death,NA,1716
2021,Other causes of death,NA,1882
2022,Other causes of death,NA,2503
2018,"Total, all causes of death [A00-Y89]",NA,68795
2019,"Total, all causes of death [A00-Y89]",NA,67586
2020,"Total, all causes of death [A00-Y89]",NA,74839
2021,"Total, all causes of death [A00-Y89]",NA,69560
2022,"Total, all causes of death [A00-Y89]",NA,77828
2018,Salmonella infections [A01-A02],38,3
2019,Salmonella infections [A01-A02],39,3
2020,Salmonella infections [A01-A02],41,3
2021,Salmonella infections [A01-A02],38,6
2022,Salmonella infections [A01-A02],39,3
2018,"Shigellosis and amoebiasis [A03, A06]",42,1
2019,"Shigellosis and amoebiasis [A03, A06]",43,0
2020,"Shigellosis and amoebiasis [A03, A06]",44,0
2021,"Shigellosis and amoebiasis [A03, A06]",45,0
2022,"Shigellosis and amoebiasis [A03, A06]",45,0
2018,Tuberculosis [A16-A19],35,11
2019,Tuberculosis [A16-A19],36,7
2020,Tuberculosis [A16-A19],35,15
2021,Tuberculosis [A16-A19],35,10
2022,Tuberculosis [A16-A19],34,15
2018,Whooping cough [A37],43,0
2019,Whooping cough [A37],43,0
2020,Whooping cough [A37],44,0
2021,Whooping cough [A37],45,0
2022,Whooping cough [A37],45,0
2018,"Scarlet fever and erysipelas [A38, A46]",43,0
2019,"Scarlet fever and erysipelas [A38, A46]",43,0
2020,"Scarlet fever and erysipelas [A38, A46]",44,0
2021,"Scarlet fever and erysipelas [A38, A46]",45,0
2022,"Scarlet fever and erysipelas [A38, A46]",45,0
2018,Meningococcal infection [A39],43,0
2019,Meningococcal infection [A39],40,2
2020,Meningococcal infection [A39],41,3
2021,Meningococcal infection [A39],41,2
2022,Meningococcal infection [A39],42,2
2018,Sepsis [A40-A41],13,594
2019,Sepsis [A40-A41],14,481
2020,Sepsis [A40-A41],14,550
2021,Sepsis [A40-A41],14,535
2022,Sepsis [A40-A41],14,525
2018,Syphilis [A50-A53],38,3
2019,Syphilis [A50-A53],41,1
2020,Syphilis [A50-A53],43,2
2021,Syphilis [A50-A53],41,2
2022,Syphilis [A50-A53],43,1
2018,Acute poliomyelitis [A80],43,0
2019,Acute poliomyelitis [A80],43,0
2020,Acute poliomyelitis [A80],44,0
2021,Acute poliomyelitis [A80],45,0
2022,Acute poliomyelitis [A80],45,0
2018,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",43,0
2019,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",41,1
2020,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",44,0
2021,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",43,1
2022,"Arthropod-borne viral encephalitis [A83-A84, A85.2]",45,0
2018,Measles [B05],43,0
2019,Measles [B05],43,0
2020,Measles [B05],44,0
2021,Measles [B05],45,0
2022,Measles [B05],45,0
2018,Viral hepatitis [B15-B19],29,45
2019,Viral hepatitis [B15-B19],28,45
2020,Viral hepatitis [B15-B19],31,32
2021,Viral hepatitis [B15-B19],32,26
2022,Viral hepatitis [B15-B19],30,28
2018,Human immunodeficiency virus [HIV] disease [B20-B24],30,38
2019,Human immunodeficiency virus [HIV] disease [B20-B24],30,21
2020,Human immunodeficiency virus [HIV] disease [B20-B24],29,37
2021,Human immunodeficiency virus [HIV] disease [B20-B24],31,30
2022,Human immunodeficiency virus [HIV] disease [B20-B24],32,23
2018,Malaria [B50-B54],43,0
2019,Malaria [B50-B54],43,0
2020,Malaria [B50-B54],44,0
2021,Malaria [B50-B54],45,0
2022,Malaria [B50-B54],43,1
2018,Malignant neoplasms [C00-C97],1,21166
2019,Malignant neoplasms [C00-C97],1,21310
2020,Malignant neoplasms [C00-C97],1,21266
2021,Malignant neoplasms [C00-C97],1,21578
2022,Malignant neoplasms [C00-C97],1,21751
2018,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",15,420
2019,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",15,412
2020,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",16,420
2021,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",16,415
2022,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]",16,419
2018,Anaemias [D50-D64],19,153
2019,Anaemias [D50-D64],20,142
2020,Anaemias [D50-D64],21,176
2021,Anaemias [D50-D64],20,201
2022,Anaemias [D50-D64],20,202
2018,Diabetes mellitus [E10-E14],9,1078
2019,Diabetes mellitus [E10-E14],9,1073
2020,Diabetes mellitus [E10-E14],9,1269
2021,Diabetes mellitus [E10-E14],8,1204
2022,Diabetes mellitus [E10-E14],9,1305
2018,Nutritional deficiencies [E40-E64],21,131
2019,Nutritional deficiencies [E40-E64],24,96
2020,Nutritional deficiencies [E40-E64],23,125
2021,Nutritional deficiencies [E40-E64],24,114
2022,Nutritional deficiencies [E40-E64],22,148
2018,"Meningitis [G00, G03]",33,22
2019,"Meningitis [G00, G03]",32,19
2020,"Meningitis [G00, G03]",33,18
2021,"Meningitis [G00, G03]",35,10
2022,"Meningitis [G00, G03]",33,18
2018,Parkinson's disease [G20-G21],12,677
2019,Parkinson's disease [G20-G21],12,665
2020,Parkinson's disease [G20-G21],13,697
2021,Parkinson's disease [G20-G21],13,770
2022,Parkinson's disease [G20-G21],13,773
